rubro,proveedor,medio,provincia,localidad,total_general,canje,centr,descent
Redes,GOOGLE ARGENTINA S.R.L.,YOUTUBE,Varias,Varias,152086545.57,,50354598.80,101731946.77
Web,THX MEDIOS S A,WWW.INFOBAE.COM,Capital Federal,CAPITAL FEDERAL,131534139.00,,64793201.00,66740938.00
TV Cable,MEDIOS Y PARTICIPACIONES SA,C5N,Capital Federal,CAPITAL FEDERAL,128592750.00,,51594400.00,76998350.00
TV Cable,ARTE RADIOTELEVISIVO ARGENTINO,TN,Capital Federal,CAPITAL FEDERAL,121514250.00,,51201150.00,70313100.00
TV Abierta,TELEVISION FEDERAL S.A.,CANAL 11 TELEFE,Capital Federal,CAPITAL FEDERAL,112961062.50,,31558312.50,81402750.00
Web,SENTIDOS S.A.,WWW.CLARIN.COM,Capital Federal,CAPITAL FEDERAL,111275372.25,,55057724.27,56217647.98
Web,S.A. LA NACION,WWW.LANACION.COM.AR,Capital Federal,CAPITAL FEDERAL,105376544.71,,45777145.08,59599399.63
TV Abierta,ARTE RADIOTELEVISIVO ARGENTINO,CANAL 13 ARTEAR,Capital Federal,CAPITAL FEDERAL,105155050.00,,29179150.00,75975900.00
TV Cable,ALTA DENSIDAD S.A.,CRONICA TV,Capital Federal,CAPITAL FEDERAL,102357347.08,,41178884.68,61178462.40
TV Abierta,AMERICA TV S.A.,CANAL 2 AMERICA TV,Capital Federal,CAPITAL FEDERAL,96857366.10,51240366.10,1966250.00,43650750.00
Web,TALAR PRODUCCIONES S.A.,WWW.ELDESTAPEWEB.COM,Capital Federal,Varias,95940900.00,,47202100.00,48738800.00
Redes,DIG ADS S.A.S.,FACEBOOK - INSTAGRAM,Capital Federal,CAPITAL FEDERAL,87582231.67,,13370447.07,74211784.60
Web,MEDIABIT S.A.,RED DE PORTALES - ARTEAR,Capital Federal,CAPITAL FEDERAL,85775862.92,,44633457.19,41142405.73
Web,EDITORIAL PERFIL S.A.,WWW.PERFIL.COM,Capital Federal,CAPITAL FEDERAL,76958812.05,,36505413.55,40453398.50
TV Cable,EVENTOS PRODUCCIONES S A,CANAL 26,Capital Federal,CAPITAL FEDERAL,76093878.10,,28693206.52,47400671.58
Web,EDITORIAL LA PAGINA S.A.,WWW.PAGINA12.COM.AR,Capital Federal,CAPITAL FEDERAL,67455503.50,,30356177.50,37099326.00
TV Cable,PUBLIREVISTAS S.A.,LA NACION +,Capital Federal,CAPITAL FEDERAL,62021140.93,,23932070.67,38089070.26
TV Cable,AMERICA TV S.A.,A24,Capital Federal,CAPITAL FEDERAL,59757244.46,4028103.31,3651607.03,52077534.12
TV Abierta,TELEARTE S.A.,CANAL 9 TELEARTE,Capital Federal,CAPITAL FEDERAL,56010597.50,,14985850.00,41024747.50
Web,DESARROLLOS ELECTR. INFORM. SA,WWW.AMBITO.COM,Capital Federal,CAPITAL FEDERAL,53532277.50,,24746475.00,28785802.50
Radio AM,SENTIDOS S.A.,AM 790 RADIO MITRE,Capital Federal,CAPITAL FEDERAL,52245428.40,,18239085.04,34006343.36
TV Abierta,NET TV S.A.,NET TV,Capital Federal,CAPITAL FEDERAL,51201150.00,,21687737.50,29513412.50
Web,EL CRONISTA COMERCIAL S.A.,WWW.CRONISTA.COM,Capital Federal,CAPITAL FEDERAL,48522572.77,,19123081.95,29399490.82
