indice_tiempo,total,agri_ganaderia_caza_silvicultura,agri_ganaderia_caza_serv_conexos,silvicultura_extr_madera_serv_conexos,pesca,explotacion_minas_canteras,extr_c_lig_turba_petro_crudo_gas_nat_act_rel_exc_act_prosp,extr_minerales_metaliferos_explotacion_minas_canteras_ncp,ind_manufacturera,elaboracion_prods_alimenticios_bebidas,elaboracion_prods_tabaco,fabr_prods_textiles,fabr_prendas_vestir_terminacion_tenido_pieles,curtido_term_cueros_fabr_art_marroq_talab_calzado_partes,prod_mad_fabr_mad_corcho_exc_mue_fabr_art_paja_mat_trenz,fabr_papel_prods_papel,edicion_impresion_reprod_grabaciones,fabr_coque_prods_refinacion_petro_comb_nuclear,fabr_sustancias_prods_quimicos,fabr_prods_caucho_plastico,fabr_prods_minerales_no_metalicos,fabr_metales_comunes,fabr_prods_elaborados_metal_excepto_maquinaria_equipo,fabr_maquinaria_equipo_ncp,fabr_maquinaria_oficina_contabilidad_informatica,fabr_maquinaria_aparatos_electricos_ncp,fabr_eq_aparatos_radio_television_comunicaciones,fabr_instrumentos_medicos_opticos_precision_fabr_relojes,fabr_vehiculos_automotores_remolques_semirremolques,fabr_equipo_transporte_ncp,fabr_muebles_colchones_inds_manufactureras_ncp,reciclamiento,reparacion_mantenimiento_instalacion_maq_eq,electricidad_gas_agua,generacion_captacion_distribucion_energia_electrica,fabr_gas_distribucion_combs_gaseosos_por_tuberias,captacion_depuracion_distribucion_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,hoteles_campamentos_otros_tipos_hospedaje_temporal,restaurantes_bares_cantinas,transporte_comunicaciones,transporte,comunicaciones,intermediacion_financiera,intermediacion_financiera_otros_serv_financieros,serv_seguros,serv_auxiliares_actividad_financiera,act_inmobiliarias_empresariales_alquiler,serv_inmobiliarios_bienes_propios_arrendados,resto,adm_publica_defensa_planes_seg_soc_afiliacion_obligatoria,ensenianza,ensenianza_publica,ensenianza_privada,serv_sociales_salud,salud_publica,salud_privada,otras_act_serv_comunitarias_sociales_personales,eliminacion_desperdicios_aguas_resid_sanea_serv_similares,asociaciones,serv_culturales_deportivos_otras_act,serv_organizaciones_organos_extraterritoriales,no_clasificados
2004-01-01,1229.7278902525427,734.543041958692,734.296074285113,741.240291358788,2720.5726722383424,3213.32820241444,4126.139499697549,1624.8585497346166,1493.0487103303649,1301.5915675822462,2573.653104674172,1162.9222338264376,810.9727615370927,1130.5343474551753,838.1855769026176,1637.4072487622138,1760.2481498668587,4219.082698811262,2690.905281221869,1399.7176768629095,1462.3631437552492,2385.7539753413535,1067.1545014542792,1371.9694795418677,1452.149569384232,1349.149708672283,1972.623298513005,1322.0874039312935,1865.1911129724595,1264.1271880415313,976.1359845036553,1239.614255398766,1211.5829530517055,2488.9881982866964,2713.721177132628,2690.5118811836046,1697.65128155415,872.5247284718446,1087.1409762073533,805.5382142858753,1031.398877991095,705.6149533650225,1568.275376293001,1415.4419094168754,2056.5124970626794,2453.8966286707614,3019.7663653948157,2045.429742150768,1954.5785437053692,1059.3465877660415,981.0365356883934,1065.2457872623845,0.0,666.3784222630968,0.0,666.3784222630968,1045.8932316621535,0.0,1045.8932316621535,1136.3327360740718,1438.9147500570882,1175.2535111499058,1025.756899603013,880.6434936683688,1374.3736737792658
2005-01-01,1429.745866685132,815.0515571435632,815.939156905233,790.8778771348011,3039.281019125512,3918.7073387884957,5054.126563967744,1958.2690578402248,1747.023867204955,1562.3099752015726,2785.156569048298,1365.2663093649455,1012.4510215916596,1348.935165355966,1015.3918270547069,1962.2158127536304,1893.467627766704,4576.976588514329,2991.2827682879984,1689.1801994805041,1729.0007542517922,2912.7316572941486,1312.9850849356844,1636.782379547055,1629.728373228834,1587.572902025444,2544.166721821707,1572.1737939203763,2230.3388742206,1445.116505187488,1129.325999719306,1544.7960530345229,1437.4170122605894,2901.7047288322588,3180.171199904622,3124.6084760920353,1927.8772813006253,1057.4974441844163,1272.7018080554958,928.1795010439829,1193.8910683285126,815.9268893825571,1850.4689234108705,1707.4961792834474,2333.728062603992,2762.6623868168786,3440.663880261448,2271.3429219587306,2148.920066973426,1230.6927676542064,1132.5670912017094,1237.7620441445852,0.0,828.7130141859944,0.0,828.7130141859944,1182.7599924007377,0.0,1182.7599924007377,1297.3743967727396,1764.4207801417135,1346.3365369267249,1153.3519936338712,1013.0607959147803,1476.9755117873922
2006-01-01,1733.332572500426,984.7386466369888,985.3208195663856,969.1775615593474,4645.855496826463,4925.081164906168,6365.279263806361,2399.411629558428,2105.8105066174844,1896.46418923891,3362.0498902906884,1664.551386057618,1222.2896688013952,1532.8551009684284,1262.31459297312,2355.2285120434776,2223.962381184302,5228.956524760543,3550.0387940886176,2032.5736587660735,2036.4171827990222,3544.5706988706215,1625.55782079661,1985.1623223793788,1810.7535535711527,1989.2491412451132,3068.429964097697,1898.2620216719874,2744.8467790302134,1807.0458131121522,1413.0375769916654,1926.4030348010992,1802.002742663575,3472.6293278172366,3736.071259982701,3753.209731593118,2581.542800359821,1327.5811284595602,1522.8840616338848,1158.9451676992198,1487.7349507585914,1022.7664799456759,2304.997980840012,2179.07284238394,2758.671336508216,3132.8470572968217,3847.5101319747155,2605.4324284542736,2436.922922380274,1478.42289204611,1370.02035543121,1485.9366746444975,0.0,1042.3333622403763,0.0,1042.3333622403763,1513.6770472434446,0.0,1513.6770472434446,1561.026410582775,2184.3218484032254,1622.7889503680458,1389.4279208705002,1302.4179957026904,1720.8416839632512
2007-01-01,2096.16744819597,1188.886207128327,1188.975656545718,1186.6450798397902,4998.620760058096,6168.732293635874,7977.7429326179345,2994.1723924567173,2554.076161470079,2330.6471632646817,3771.1444997277504,1975.1940527162756,1455.7170252741312,1827.6581857295337,1520.9802434823005,2754.8472506971193,2660.529157645052,6241.579220266922,4212.677309939103,2477.8466797339497,2484.9210668180526,4305.867873499238,2006.2284335405536,2402.232065556659,2110.5073874722807,2440.678573731707,3653.134942346986,2397.6033798068693,3370.5770453531854,2238.1822372989645,1748.3567065144719,2383.536432848674,2199.3487418746276,4224.259391401171,4575.742376531997,4467.256517008163,3077.0856154721123,1701.786563992861,1827.2762056739243,1385.910887440581,1777.2577629026207,1226.1737001958143,2781.1479991108945,2645.2351893275386,3292.7102636390964,3727.2707922225773,4587.723421785906,3064.60236045472,2881.0666320251053,1757.8296421907883,1667.9466423277177,1763.6328964738243,0.0,1281.9465978302833,0.0,1281.9465978302833,1853.407379010739,0.0,1853.407379010739,1888.225670989219,2709.796559105185,1939.4629668358662,1695.766714151517,1638.24816111765,2047.1424375776025
2008-01-01,2711.236464359734,1574.4153741639009,1576.6543423506846,1515.0880002739598,5397.658689124024,8156.069624403473,10627.38864465305,3917.9074358311636,3280.4476784652934,3056.6843821819407,4548.17804487921,2424.445172650935,1859.2610246239874,2372.7575325587886,1901.7575418166011,3542.2904144159575,3327.989425207761,7674.548409607048,5424.520746473294,3072.2144759224316,3173.768348473832,5384.450884012749,2583.0171271568297,3068.1142280228705,2716.811963972691,3075.774816945096,5160.986380501073,2905.015043326013,4288.713706566075,2896.7876105521086,2299.2929592137616,3154.43521213535,2880.2778928550624,5434.184842701972,5841.023489237576,5772.06907213106,4063.8952356483996,2259.040014715637,2352.4378162970615,1773.6650051067954,2314.096121114636,1557.378476506,3548.9682359555563,3373.5558642827373,4228.264659226345,4822.685036147285,5823.112205994469,4077.634742122023,3620.0488109319735,2283.6851821124746,2186.8479686404075,2289.7650344316326,0.0,1735.8245919422172,0.0,1735.8245919422172,2375.2937351053342,0.0,2375.2937351053342,2453.8360681974264,3523.2352502662184,2501.5953079720457,2223.4086498434244,2083.108136756261,2812.6979649305795
2009-01-01,3264.625939663291,1875.505149318844,1879.967287439898,1754.8189320592528,5887.929264408305,10117.26101268386,13354.182896966637,4678.65072031015,3907.521624030338,3681.8863038791915,5615.750700631848,2822.8449348529007,2205.137616857992,2742.6852248360874,2147.0491553152124,4244.01336797102,3995.417945041798,9467.36402311578,6567.59774930218,3679.1921362250637,3720.7156418313416,6125.612088597807,3007.6184476404114,3584.496592821844,3169.6919438619957,3642.574202598983,6694.724070492362,3400.728339368976,4941.172080374992,3541.152840269043,2685.1582776468304,3703.894685699389,3341.0525912460394,6847.5254303158235,7427.721915793392,7196.54889277148,4972.552354869935,2635.6069831084983,2822.0819922581754,2129.357271959875,2752.552378401601,1887.3533268233566,4352.674377651713,4140.658511655157,5192.127712742374,5959.94192499788,7295.036904900971,4955.0744344797495,4294.141682817791,2770.8334571373516,2585.0104634868267,2782.917342238435,0.0,2085.9838414361916,0.0,2085.9838414361916,2961.1345263785242,0.0,2961.1345263785242,2967.9644534642653,4465.25153152675,2996.0448530350245,2671.709178609532,2565.156572271232,3623.27388925341
2010-01-01,4116.255039759082,2407.2981384833283,2412.4490845333094,2258.6091022153073,7063.650637669805,12945.682911755279,17134.749885520174,6113.111930564389,5062.977750194596,4739.290873715569,7487.259217379933,3613.7464975093667,2931.5743952408434,3621.992634651776,2803.274999227467,5409.58108885864,4964.017167873142,11579.23572740782,8083.439316958051,4699.584287302459,4852.089204375521,8088.361486778563,3894.520018890529,4773.418922165458,3920.414985395963,4767.670301702655,9065.410055021079,4350.442404617666,6795.529725895371,4729.03085759699,3540.097277249084,4955.195069373274,4361.7372190054675,8553.605202091183,9098.115087209539,9271.266217227403,6956.400487602881,3269.1376602538176,3555.094133688731,2643.1984214387894,3402.539860359069,2346.027580817109,5479.638469410266,5250.613517983245,6403.025827345613,7430.24243347455,9072.828616582045,6244.661481832614,5093.9301821065565,3444.4285714432963,3240.6112234157213,3457.165983330956,0.0,2477.9594989771517,0.0,2477.9594989771517,3678.0077284140807,0.0,3678.0077284140807,3715.947133239413,5150.483438917914,3841.960013066182,3346.1095070060146,3154.8899414299763,4431.509537798284
2011-01-01,5431.885496042183,3125.12541545851,3131.740700319214,2929.2194258505397,8389.430277906475,17439.27494310965,23257.867856369194,8296.561165280731,6637.728479364508,6255.858766880529,9841.57409209057,4736.176866454146,4041.3229973757543,4571.837414014739,3683.2132859821063,6974.203860052774,6419.668736729566,15356.415677456931,10459.38660896152,6090.487319881129,6410.868578365256,10352.372744709799,5062.753471906121,6271.717939934593,5376.138009544387,6252.108539073557,11797.824658444475,5683.016187088179,8816.325742334473,6097.387895698635,4739.727269472087,6612.267728800163,5880.689708910113,11592.053531129706,12461.18256157247,11972.906721034791,9372.30554263576,4461.335299545577,4803.057880281973,3403.1861723147517,4326.133266730867,3043.721592198047,7292.644354842446,7071.3982685783685,8228.413533979592,9460.071546173102,11322.840621000742,8093.462986820501,6689.968339958257,4509.642591613321,4309.645771164831,4521.687887453631,0.0,3218.2924720848596,0.0,3218.2924720848596,4850.705372042083,0.0,4850.705372042083,4852.715958063691,6601.446407868667,5097.291446011475,4296.272686886434,4350.128391101356,5546.891854972952
2012-01-01,7041.451408074983,4073.925945842786,4083.1631242759313,3803.9821771062625,10401.082371980357,21465.834861085277,27850.30734813941,11120.61120627735,8570.516335633545,8185.947480626397,12627.311511749223,6322.236115001041,5324.540368949701,5970.621323872338,4766.530136247717,9033.307974208696,8216.298794084934,19027.43808237891,13099.262268372793,8021.007316425927,8389.340634018405,13334.956820902,6398.149527535564,7915.400629634842,7351.241087910435,8001.106481918302,15072.042120947583,7268.321150885824,11385.920141034205,7535.643352734414,6365.644232185345,8776.439284358075,7329.070832138387,14404.553189365284,15322.012731895644,14883.4130128073,12088.545085732003,5801.325632671871,6405.733535329676,4427.202378959531,5762.758410846478,3919.791180265592,9226.008170160596,8914.507425709453,10551.4447145494,12132.232560674029,14390.208285192115,10543.267876218459,8467.322171092148,5900.572706628684,5633.936095768617,5916.292565373006,0.0,3937.253016909216,0.0,3937.253016909216,6365.963933321336,0.0,6365.963933321336,6395.392441896187,9141.946539499535,6589.522766501066,5676.629666248096,5846.151334100881,7257.6974143114
2013-01-01,8908.168707270068,5159.383486789416,5167.219912809403,4912.761332328109,14120.06192569411,27031.460754847765,34537.98357239853,14369.446368091534,10870.031573666027,10361.072882956198,15876.593578627077,8083.737495993255,6767.722779052649,7782.3839562349,5962.508843605071,11347.819046542438,10458.252903428307,24199.576359021612,16905.253657609093,10125.856690307211,10712.424898274876,15870.76624869572,7921.751493385933,9943.316114873476,9593.462675912418,10077.159344242853,18288.18759514192,9216.662830533707,14618.261270728652,9716.4650951245,7918.575203717467,10779.52240412416,9306.954822667723,18746.234275385053,20232.46405596291,18814.721433956765,15230.447158065042,7115.33049319685,8088.0667797617425,5609.728985687377,7437.147327054099,4927.008977526779,11722.308896921124,11295.749728391806,13552.669949561478,15392.80418895874,18346.20210777977,13348.002973453067,10724.992355774404,7487.499515939775,7212.036675372948,7503.370085682123,0.0,4770.2016773528485,0.0,4770.2016773528485,8017.7422922675605,0.0,8017.7422922675605,8019.704088040775,11174.999644021278,8142.238610933716,7288.250287391447,7691.769889134938,10046.139885472327
